text,label
tik tok alli jagala madtidralla adra baggenu ondu video madi anna super agi ugididdira ,0
anyone from kerala here ,2
movie rerelease madi plss ,0
amazon prime alli bittidirayella manele nodtare ,0
guru sure news nanu tik tok dawn lod madeda yavaga nama ndudu tindu nama dashda mala uddha madaka bandro avaga deleted ,0
ಸುದೀಪ ಸರ್ ಅಂಡ್ ದರ್ಶನ ಸರ್ ಇರೋ ಫ್ಯಾನ್ ಫಾಲೋ ರಕ್ಷಿತ ಶೆಟ್ಟಿ ಇಲ್ಲ ಅಂದ್ ಸಾಂಗ್ 2m ಟೀ 85m ಬೆಂಕಿ ಗುರು ಮೂವಿ ವೇ,0
ade old same story ,1
superb rakshit sir sobg superb macking ,2
hai neel prithvi wonderful movie dia ,2
ಏನ್ ಗುರು ನಿನ್ನ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಅವತಾರ ತುಂಬಾ ಚೆನ್ನಾಗಿ ರಶ್ಮಿ ತುಂಬಾ ಉರು,0
e tara film ge ella kaitaididdu welcooome item song iro ,0
super guru smiling face with hearts ,0
different aagide song n ,0
d boos fans all the best ,2
ನಿಜವಾಗಿಯೂ ಅದ್ಭುತ heartly heltidini plz avrigella namma nimmellara supprt beku ,0
i am speechless ,0
movie was amazingstarstruck starstruck ,2
black heart ala ,0
ಬ್ರೋ ದೇಶದ ಅಭಿಮಾನ ಇಲ್ಲಾ ಬಿಡಿ,1
ಹೆಮ್ಮೆಯ ಕನ್ನಡಿಗ,0
ಇ ಬಿಡುಗಡೆ ಗೆಲ್ ಜವಾಬ್ದಾರಿ ನಮ್ಮ ದಿಯಾ,0
movie supper sir ,2
super sir keep it ,2
ಇನ್ನು 1000 ಮೆಚ್ಚುಗೆ ಬೇಕಿದೆ ಮೆಚ್ಚುಗೆ ಪಡೆದ ಕನ್ನಡ ಚಲನಚಿತ್ರ ದೃಶ್ಯ ಗೀತೆ ವೀಡಿಯೊ ಹಾಡು ಆಗ nಯೂಟ್ಯೂಬ್ nದಿನಾಂಕ,0
ಮನ್ ನಾರಾಯಣ movie ಹಾಡು ಕೇಳ ಸುಮಧುರ ಡ್ಯಾನ್ ಸೂಪರ್,0
ದೇಶ ಡಿಸ್ ಲೈ ಮಾಡಿದರೆ ನೀವು ನಿಜವಾದ ದೇಶ ದ್ರೋಹಿ ನಾಚಿಕೆ ಆಗ ನಿಮ್ಮ ಜನ್ಮ ಇಂತಹ ಅದ್ಭುತವಾದ ವಿಡಿಯೋ ಗಳಿಗೂ ಡಿಸ್ ಲೈ ಮಾಡಿದ್ರ ನಿಮಗೆ ನಾಚಿಕೆ ಆಗ,1
randhawa movie 10 rating ide ,0
ಸೂಪರ್ ಬ music,0
eno ontara chnnagide annoru like madithinking face thinking face thinking face thinking face thinking face thinking face thinking face thinking face thinking face ,0
bindu gowda ge super agi ugididdeera ,1
kannadadalli mado badlu hindinalli madidre superrhit agodhu ,1
rip dislikers ,2
namana kudlada rakshith shetty innu orsbeku rashmikage thu avla janmake ,1
