text,label
movie vara level la erika poguthu ,0
i love ajith kumar vivegam movie inki mjy bht achi lgi ,2
padam nalla comedy padama irukum polaye ,0
karthick subburaj anne intha padam vetri adaya unagalukku ennudaya valthukkal ,0
கவுண்டர் தேவர் வெற்றி பெற வாழ்த்துக் சிங்கம்,0
ippo intha trailer ah parkuravana oru like podunga ,0
en thalaivan yogi babu irukkaar padam vera level laa irukkum ,0
nerkonda parvai sema sema sema trailer ,0
ஏய் 96 ஏமாத்த செம பின்னி,0
படம் கண்டிப்பாக வெற்றி பெற செம்ம vara level,0
correct enga apa military da oodi vilaiyada solli tharuvaaaayaa ,1
dislike pottavan ratham khaki dha savan ,0
anandhi army hit like ennayum ipdi aakitingale anandi anbukkunanadimai ,0
thalaivaa mass nadipin nayagan surya anna fans hits like ,0
படம் கண்டிப்பாக வெற்றியடைய வாழ்த்த,0
hit like if anybody laughed during this 106 thaamasuuuu ,0
i love vijay anna you r so cute anna ,0
dei rajini pavam da ne varaven poraven ellam karithuppatha koraiya pesittu erukkan 158 ,1
செட்டியார் இன மக்கள் சார்பாக எனது சொந்த செலவில் 100 டிக்கெட் இலவசமாக வழங்க படக் எனது மனமார வாழ்த்துக்,0
dhanush fans hit like here ,0
dey dey deyyy loosu pasangala munna pinna jayalalitha amma va pathrukingalada gambeeramna ennanu avanga kannula tha paakanum amma oda history ah ithu soniya gandhi mari iruku chaiiii avanga bio edukanumna az pathutu vanthu edungadaa dummy akkaathinga ,1
aathii yenna pa different aah eruku sama ,0
viswasam teaser ku aprm yarllam inga vanteenga ,0
intha maari comments ku like kekuravangala india va vittu veliya annupanum ,1
250 k likes ineram sila arivuketta pundaika ithku karanam vivek obrai ila kajal ila aksara kakathanu innum sollala ,1
ellam okay thanbut antha ponnu aasa pattu love panni avanaiye kola panna thappu illayayosinga ,0
short film ah yum vittu vakalaya enada panni vachirukeenga ,1
super i am waiting ,0
any nani and surya mutual fans ,0
தமிழ் நாட் இருக்குற சாதிய பைத்தியகார கூ ஓரே பார்க்க வாய்ப்பை தந்த மோகன் வன்னி சாரி பன்னி நன்றி,1
അണ്ണ പൊളി 259 k likes in 4hours ,2
kekka bekka short film mathiri iruku ,0
في قناتي على اليوتيوب كل ماتتمناه 18 ًاشتركو في قناتي فضلً منكم ولا يسى امرا ,2
உங்க எல்லோரை பா ரஞ்சி எப்படி க இருக்க இப்ப புரிய அட்ட மெட்ராஸ் பரி பெருமாள் எத்தனை படம் வர போகுது அதுக்கு எல்லோரு மனச தேர் கொள்ளு நண்பா,0
hit like if you felt watching sarkar movie ,0
intha padamavuthu sk ku nalla come back ah irukanum ,0
dance illa p deva vai paarkave mudiyadhu pola ,0
love scenes la vera level thalaivar ,0
படம் மா வெற்றியடை கமல்ஹாச ரசிக வாழ்த்துக்,0
str masssssssssssssss enimeh namba than da ,0
otha vaaya odachiruven thalapathiya pathu sirichirukka ,1
abe sale ye toh tatti hai ,2
b bhayakaramana a ajith i in rrasigar aadmitting vvijay aanna aawesome 3 ,0
just 10 years apadiye elarum patha mathiri irukinga partying face padam vetriyadaya vazthukal partying face partying face starstruck starstruck ,0
die hard thala fans hit like ,0
மணிரத்னம்ar ரஹ்மான் வைரமுத்து சந்தோஷ் சிவன் தமிழ் சினிமா ல இல்ல இந்திய சினிமா யே கால் நூற்றாண்டுகளா25 வருசம் team இல்ல உண்மையான நண்பர்கள இருந்து இருக்க னா team படம் எப்ப னு எதிர்பார் இருக்கு,0
singam sinletha varum bairavaa baikkiramma varum ,0
super semma mass from vijay fan ,0
நாடகக் காதல் குடும்ப பொண்ணு வீட்டுக்கு போய் வசதி வாய்ப்பை பார்த்து எவ்ள பணம் தேறும் நகை தே சொத்து பத்து தேறும் கணக்கு போட்டு கல்யான பண்ணி ரெண்டு நாளோ மூனு நாளோ பார்த்த கூட அன்னி நை படுக்க பேரு நாடகக் காதல்,0
வெற்றி பெற வாழ்த்துக் கண்டிப்பாக திரையரங்க பார்க்க,0
enagada traileriye verithanama yeduthurukingaapo padamscreen kiliya poguthusemmaaaaaaaa thalaivaa ,0
8000 dislike people should die as soon as posiible ,1
சாதி படம் அல்ல பெண் படம் பண்ணும் தவற சாதி கெட்ட பேரு அ படம்,0
ஜெயம்ரவி ௨ங்கமேல நல்ல மறியா இருக்கு தலைவரை நிங்க,0
வெற்றி பெற வாழ்த்துக் வெள்ளாள சார்பாக,0
marana bangamverithanam overloaded to surya anna fanshmm kola mass pannuga pangaligala ,0
goosebumps vantha vangala la like podungo ,0
intha padam varanum samuga matrathirkana padam 18k dislikes ithula ena theriuthu avlo poriki porikitu iruku ponnungala ,0
marvel media my channel pls visit subscribe ,0
sirappana tharamana sambavatha inimel dha paakka porom ,0
041 look at the name tag vijay kumar ,0
திரௌபதி சாதி வெறி படம் அப்ப பர எடுத்த a பட நா தரையில் உருள,0
அன்றை எங்கள் குல சாமி சொன்னது திரௌபதி திரைப்பட இ தம்பி சரத் சிங்கம் சிங்கம்,0
both vck pmk fraudu pasanga than da en da itha padathula kaati engala makkala jaathi kalavaram thoonduringa ,0
manasu kulla irrundha kovam lam ippa வெட்ட வெளிச்சம் ஆகியிருக்க நன்றி பட,0
you kena tunggu lebih lama lagi untuk tahu saya who heard this malaysians ,2
theatre ellaam insure panni vachukkangappaa 200 la theatre ellaam kandam ,1
naaa arasiyalukku varuvathu uruthirajini tells this dialog since 96 semme joke ,1
thalaivar vera level suriya ennoda uyir avaru oru rockstar ,0
wow wow wow suriya anna ,0
comali 9looks teaser la varave ella ,1
அருமை 10000000சிறப்பு வாழ்க குடும்பத்தின சென்று திரையரங்க பார்ப்போம் இப்படி தேவர் மகன்,0
jimmki kammal has more views rolling on the floor laughing ,0
u1 bgm massssssss verala level thala look semaaaaaa ,0
வாழ்த்துக் நண்பா சமூக நடக்கும் உண்மை சம்பவங்களை படமாக எடுத்த நெஞ் நன்றி தெரிவித்துக் படங்களை மென் படைக்க வாழ்த்துக்,0
mani ratnam kitta ippdi oru script huh omg vera level ,0
panggaaligala 2 million likes varanum innum vegama like ah therika vidunka ,0
ayyyo thalaialva vera lvl confirm ellaflrume rajinified ,0
atlee verumpaya illa trailer layae evlo azhaga katha soldraan ,0
pa ranjith paru da unaku sc st quote job government job quarters ellam cancel pannanum ,1
kajal agarwal is back i so happy ,0
vijay sethupathy sir saggatamizanpadam edutha eppti odama iruku i am waiting makkal selvanstarstruck starstruck starstruck starstruck starstruck starstruck starstruck ,0
kadasi word its super oruthavanga mela visuvasatha katrathukaga innoruthavangala asinga paduthathinga ,0
thalaiva tharu maru marana mass vilayadalama ,0
204 rajini ah serupala adicha maari irundhuchu ,1
sk kagha paaka vandhavangha like pannungha ,0
but graphics sothapal panitanuga english kara pottainga athan padam late ayirichi ,0
அரசியலுக்கு வருவது உறுதி ரஜினி 1996 சிரிக்க தரையில் உருள சிரிக்க தரையில் உருள சிரிக்க தரையில் உருள,0
anyone after ngk n kaappaan teaser ,0
friend nu fb la like kudukkara friend dunu nenachiya life be kudukkanu da ,1
ella scene summa therikuthu kandipa veraleval blockbuster ,0
gujarath patel inathin sarbaga vetri pera valthukkal ,0
unaku yaravathu palaya friendu irukangala nambatha ,0
statue odaikalam but br kolkai alika mudiyathu ,1
surya anna huge fan from mangalore coastalkarnataka tulunadu ,0
please telugu dubbed telugu danush fans ,0
iron man fans dis like podunga intha vidio kku ,1
kuch samhj to nahi aaya but rajni did not needs any luggange he always rocks ,2
pakathane pora intha kaliyoda attatha sign of the horns sign of the horns sign of the horns sign of the horns sign of the horns sign of the horns sign of the horns sign of the horns sign of the horns sign of the horns sign of the horns sign of the horns sign of the horns sign of the horns sign of the horns ,1
marana mass ah irukkesong um trailer umsaavadi ,1
mersal ku siricha siripu viswasam movie ku illaidhu enna da anil ku vandha sodhanai ,1
tamil trailer nachina vallu okka like here ,0
thala mattum than original massbcoz others papaerla vilambaram kotuthutu poraku trailar release panittu sathanai pannittatha pithikuvanga thala mttum than vilambarame seiyamal kalakkuvaarthalada ,1
ennada ipadi yeduthu vechurkingha paaaaaaaaaph ,1
kaakaa pudikaa sollalllaakaakaa vukaaa unna pudikudhurolling on the floor laughing rolling on the floor laughing ,1
yevan ya camera man semma visuals amazing ,0
ashok selvan padam nampi pogala perusa onnum vachi seiya mataru ,0
nerkonda paarvai trailer review ,0
2 years aagiduchu innum movie varala ,1
generally bap se beta sawailekin yaha beteaditya varmase bap sawai ,2
trailer paka poren rowthiram maari iruntha kandipa theatre ,0
rajini style maaa enna therikka vidalamaaaaaaaaaaa ,0
trailer ah paatha angaali pangaali elam oru like podunga ,0
mothathula viswasathuku bulb kudukkurathukagave yedutha mathiri iruku ,1
verithanam dhanush fan from sri lanka ,0
சமூக அரசியல் சார்ந்த படம் வெற்றி பெற வாழ்த்துக்,0
kirrakkkkkkk style ka baap super star rajini ,0
vivagam part 2 trailer mathri irkuu ,1
nadippin nayakan brilliant director selva sir compo u1 muzic cult in class loading ,0
a vera levellllllllll trailer masssssssssss gangsters ,0
parudaivaru lawyerlayaei rowdy lawyera irupar pola ,1
last dialogue semma karthi anna nala panirukenga ,0
hit like suriya fans hit like south indian hindi fans ,0
innaki kaalaila13619 endhichadhum inga vandhavan yaru ,0
100 times ku mela parthavangala like potutu ponga ,0
vetrimaranivanukku mattum eppadi daa intha mathiri bgm kedakkurathu hats off ,0
semmapakkakola masstherriperfect titlethalapathy ajak pans thevdiya pasangala apadiye vorama pongada amayanzz ,1
kaipulla vijay twitter la trending agudhu ,0
thalaiivaaaaaaaarolling on the floor laughing rolling on the floor laughing rolling on the floor laughing i am waiting ughhthis valentines day program eh neenga dhan ,0
கொங்கு வேளாளர் கவுண்டர் பேரவை சார்பாக படம் மிகப்பெரிய அளவில் வெற்றி பெற வாழ்த்துக் சாக திருமா சக்கி,1
thala massssslooks like a hollywood movie ,0
a wonderful nd amazing wtng 2 see ,0
aruvi movie real fans hit like here guys ,0
unique concept hats off edho message solra satirical film pola ,0
morning endhirichadhum teaser paka vandhavanga laaam likee ah poduuuu kaappaan teaser vera level 2019 naanga dhaan da ,0
நாடக காதல் கும்பல் கதற ஆரமி விட்டார்கள் சத்தம் அதிகமா கேக்கு,0
தாழ்த்தப்பட்ட மக்களின் நலனுக்காக சொத்தை பங்கிட்டுக் அடைக்கல கொடுத்த மதிப்பிற்குரிய பசும்பொன் முத்துராமலிங்க தேவர் வழியே சாதி மறந்து மதித்து ந சார்பாக படம் வெற்றி அடைய வாழ்த்த,0
india makaal sarbagae endhae padam vetri adayaae emadhu vazthukaal trailer wooowwwww ,0
last scene vera level love you thala ,0
surya love you thalaivaaaaa ,0
padamna ithu padam semma message movie great ,0
single pasangha like me ,0
நாடக காதல உண்மை அதிகம் பாதிக்கப்பட்ட வேளாளர் தேவர் வன்னியர் சமுதாய இப்பட சமர்ப்பண,0
படம் தமிழ் சமுதாய மக்களுக்கு சிறந்த பட,0
ennaikku neriya peru kitta illatha oru ketta palazhum en kitta erukku ajith fanzz okkurathu thalapathy fanz than masss ,1
டிரெய்ல ரி மோட் ல பாக்குற அவ பாதிக்கப்பட்ட குடும்பத்தில் ஒருவன்,0
kiya yeh movie hindi me hai ,2
dislike adicha maannynmark naduviral namaskaram ,1
what ah trailer semma mass ah iruku ,0
viswasam enga poga poguthunu theriyalaya petta paraak ,1
dai neenga la loose mari caste language nu sanda pottu irukurapo namma ellarum indians nu oru jawan border la ninutu irukanga da sethuturuka da dai innum ah da neenga thirunthula grow up da we all are indians ,1
trailer yangaluku pedichirundha mattum like podugaa ,0
i am here after queens trailer ,0
thala unna paththiddu irukkan seekkiram vaa thala ,0
குடும்பத்தின் கதறலை பட மாற்றி உள்ள வாழ்த்துக் வன்னிய நன்,0
karhtik subburaj mass pannitinga thalaivara supera kattirukinga thanks bro ,0
a tamil movie going the malayalam way ,0
super படத்தை ஆவ எதிர்பார் குடும்ப அனைவரு பார்ப்போம்,0
namaku theva thavayanatha nama than adichu vanganum nama edathuku nama than sanda seyanum ,1
751k likes reached aairuku pangalingala adichi thookalamaa ,0
sir plzzz e trailer na tseries nalli bidi sir awsome trailer 500m pakka aagutte ,2
yarellam sarkar teaser pathutu vanthu itha pathingalo like podunga ,0
thala oda unmaiyana fan ahaa irrutha ilke podunga ,0
viswasam trailer needs 20k likes to reach 14m likes ,0
omg owasame bhai jan kay bata he itne sare lucok ,2
sema sema sema no words ti say ,1
intha mari all irugathdigum nadu sathivanmaiyal alium ,1
simbu n jyothika wil score much ,0
irukku theatrela kaadhu javvu pichikira alavukku dts irukku ,1
தாம் தமிழ் அய்யங்கார் சார்பாக படம் வெற்றி பெற வாழ்த்துக்,0
aai yevanu kaachum ponnttaati pulla sentiment irunthaa oodi padhungkirukola kaandula irukkanvarraar thalaivarupetta paraakkkkkk ,1
ரஜினிய கிண்டல் பண்றங்கிலா wait watch he doing something to people ,1
அய்யோ இப்ப படம் பார்க்க இருக்கே நட்சத்திர நட்சத்திர காத்திருப்போம்semma hit aagapoguthu,0
come on surya fans 10 million views ,0
thala mass dialogue you r great ,0
thala pola varuma semma thala ,0
oru vela powerpaandi 2 vaa irukumoothinking face thinking face trailer mass pannitaanga petta vs viswaasam ,0
வெச்ச பாரு ஆப்பு க்ளைமாக் சத்திய விழுந்து விழுந்து சிரிச்ச,0
தமிழகத்தை புரட்டிப் திரைப்பட அமையும் வெற்றிபெற வாழ்த்துக் வாழ்த்துக் அண்ணா,0
படம் வெற்றி நமது சமுதாய கிடைத்த வெற்றி நம் வீட்டு பெண்களுக்கு கிடைத்த வெற்றி,0
sagapora unakku sathi etharkku iyya pasumpon ,1
அனைத்து பெண் பார்க்க வேண்டிய விழிப்புணர்வு படம்,0
fight seen marana masssss thala killi killii killikiii ,0
epo relese pannuvinga epdiyachum relese pannirunga ,0
பரி பெருமாள் சமூக நீதி பட திரௌபதி யும் சமூகநீதி படம்,0
engala minja yevanum illa ambalaya iruntha nerala va by duraisingam ,1
ungalukku vayase agala sitty love you ma ,0
now kaappaan teaser marching towards 5m views 400k likes ,0
romba nalaiku apro na edhirpaarthamaadhri padam ,0
அடங்க என்றால் அடக்க செய்வ மோகன் ஜி உ நாங்கள்,1
கடலூர் மாவட்ட சம வீர வன்னியர் சார்பாக இப்பட வெற்றி பெற வாழ்த்துக்,0
aama mr pandey inga enna panraru ,0
komali kadhadhan aga pogudhu padam otthikkum ,1
படம் வெற்றி பெற வாழ்த்துக் புர வெல்ல,0
vijay sethupati mattum villan na irundha vechiko padam flop thaan ,1
varla varla vaa varla va bhairava ,0
ohhh aaa telugu remake of ravi tejas bengal tiger ,0
ஆதி பட சிரிக்க போறாரு படத்த பாத்துட்டு நாங்க விழுந்து விழுந்து சிரிக்க போறோம் வாழ்த்துக் ஆதி,0
thalaivaa pakka massssss only one super star ,0
no means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala ,0
naan arasiyalukku varuvathu uruthi semma ,0
la la la surviva thala walk is just enough ,0
last bgm un azhaigil en idhayam than nilayail kathi song ah copy adichtan ,1
tseries ke taraf se kisi ko heart mila hairolling on the floor laughing rolling on the floor laughing rolling on the floor laughing ,2
dec la yarala intha video pakkega avaga matum like poduga ,0
pink padam paathuthaen hd print irruku yaaruku veanum ,0
அனைத்து சமுதாய வரவேற்க்க நாடக காதல் கும்ப எங்க அண்ணா வேற லெவல் வாழ்த்து மே சத் அவர்,0
very bad na ethur paartha alavukku illa ,0
