text,label
tik tok alli jagala madtidralla adra baggenu ondu video madi anna super agi ugididdira ,0
anyone from kerala here ,2
movie rerelease madi plss ,0
amazon prime alli bittidirayella manele nodtare ,0
guru sure news nanu tik tok dawn lod madeda yavaga nama ndudu tindu nama dashda mala uddha madaka bandro avaga deleted ,0
ಸುದೀಪ್ ಸರ್ ಅಂಡ್ ದರ್ಶನ್ ಸರ್ ಇರೋ ಫ್ಯಾನ್ಸ್ ಫಾಲೋಯಿಂಗ್ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಇಲ್ಲ ಅಂದ್ರು ಸಾಂಗ್ 2m ಟೀಸರ್ 85m ಬೆಂಕಿ ಗುರು ಮೂವಿ ವೇಟಿಂಗ್ ,0
ade old same story ,1
superb rakshit sir sobg superb macking ,2
hai neel prithvi wonderful movie dia ,2
ಏನ್ ಗುರು ನಿನ್ನ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಅವತಾರ ತುಂಬಾ ಚೆನ್ನಾಗಿ ರಶ್ಮಿಕಾಗೆ ತುಂಬಾ ಉರುಸು ,0
e tara film ge ella kaitaididdu welcooome item song iro ,0
super guru smiling face with hearts ,0
different aagide song n ,0
d boos fans all the best ,2
ನಿಜವಾಗಿಯೂ ಅದ್ಭುತ heartly heltidini plz avrigella namma nimmellara supprt beku ,0
i am speechless ,0
movie was amazingstarstruck starstruck ,2
black heart ala ,0
ಬ್ರೋ ದೇಶದ ಅಭಿಮಾನ ಇಲ್ಲಾ ಬಿಡಿ ,1
ಹೆಮ್ಮೆಯ ಕನ್ನಡಿಗ ,0
ಇನ್ನೊಮ್ಮೆ ಬಿಡುಗಡೆ ಗೆಲ್ಸೋ ಜವಾಬ್ದಾರಿ ನಮ್ಮದುಮತ್ತೊಮ್ಮೆ ದಿಯಾ ,0
movie supper sir ,2
super sir keep it ,2
ಇನ್ನು 1000 ಮೆಚ್ಚುಗೆಗಳುಲೈಕ್ ಬೇಕಿದೆ ಮೆಚ್ಚುಗೆಗಳುಲೈಕ್ ಪಡೆದ ಕನ್ನಡ ಚಲನಚಿತ್ರದ ದೃಶ್ಯ ಗೀತೆ ವೀಡಿಯೊ ಹಾಡು ಆಗಲು nಯೂಟ್ಯೂಬ್ nದಿನಾಂಕ ,0
ಮನ್ ನಾರಾಯಣ movie ಹಾಡು ಕೇಳಲು ಸುಮಧುರ ಡ್ಯಾನ್ಸ್ ಸೂಪರ್ ,0
ದೇಶಧ್ರೋಹಿಗಳು ಡಿಸ್ ಲೈಕ್ ಮಾಡಿದರೆ ನೀವು ನಿಜವಾದ ದೇಶ ದ್ರೋಹಿಗಳು ನಾಚಿಕೆ ಆಗಬೇಕು ನಿಮ್ಮ ಜನ್ಮಕ್ಕೆ ಇಂತಹ ಅದ್ಭುತವಾದ ವಿಡಿಯೋ ಗಳಿಗೂ ಡಿಸ್ ಲೈಕ್ ಮಾಡಿದ್ರಲ್ಲ ನಿಮಗೆ ನಾಚಿಕೆ ಆಗಲ್ವಾ ,1
randhawa movie 10 rating ide ,0
