text,label
apt മ്യൂസിക് sushin hats off ,0
മിഥു ചേട്ട ഇങ്ങ ഐറ്റം കയ് വെച്ച കോമഡി ഫിലിം ചെയ്ത നക്ഷത്ര,0
രാക്ഷസ ഇ ഒക്കെ അ മാറി ഇവിടെ 5ആം പാ ഭരിക്ക,0
മലയാള ഉണ്ടെന്ന പറഞ്ഞ അസ്സ ത്രില് waiting,0
മലയാള രാക്ഷസ ആ എല്ലാ ലക്ഷണ,0
പോലെ ഞെട്ടിച്ച ട്രൈ വേറ അടുത്ത കണ്ട സൂപ്,0
വേട്ട ശേഷം ചാക്കോച്ചന് കിട ത്രില് ആ തോന്നുന്ന,0
പടം പൊട്ട ഉറപ്പുള്ള like അടി നല്ല ത്രില് ആയ,0
ഷറ ആണെന്ന തോന്നുന്ന ഈ സീരിയ കില്ല,0
ente ponno malayalam rakshasan loading ,0
വേട്ട ശേഷം അടുത്ത ത്രില് iam waiting,0
ശ്രീ ഭാസി sb ഫാൻസ്‌ ലൈക്‌ അടി സ്നേഹ ആംഗ്യം സ്നേഹ ആംഗ്യം,0
മിഥു comedy ഇല്ലാതെ പടം,0
ചാക്കോ ച്ച ഒന്നൊന് വരവ മോ,0
മിഥു എല്ല സിനിമ ചെയ്യുന്ന മികച്ച സംവിധായക ആണ് ആ വേറേ ലെ,0
ചാക്കോച്ചന് ല ഫാൻ വക എല്ലാ ആശംസ അഞ്ചാം പാതിരാ കട്ട വെയ്,0
ഇത വില്ല ശ്രീ ഭാസി ആണ്,0
ദൈവ ഇത്‌ മലയാള പടം തന്നെ ആണ അതോ വല്ല കൊറിയ പട ആണ ejjathi poli,0
night shots ,0
ചാക്കോ,0
കാസ്റ്റി 2nd ഷറ പേരാണ് പക്ഷെ ട്രെയി കാണിക്കുന്ന അ പുള്ളി ആണ സീരിയ കില്ല,0
103 ഉണ്ട സിനിമ ഉണ്ണി ആയി അഭിനയിച്ച അഭി ചേട്ട അ,0
2020 ile psycho thriller rakshasa minnichekanestarstruck ,0
എവിടെ രാക്ഷസ bgm പോലെ മുഖാമുഖ,0
ചാ അഞ്ചാം പാ മോഹൻ ഫാൻ വിജയാശംസകൾ…,0
namkum vanuda makaleee oru rakshasan kattak waitingatta ,0
മലയാള വരുന്നു നല്ല ത്രില് പടം ചാക്കോ ഇഷ്ട,0
something big is coming അഞ്ചാം പാതിരാ കൈ വിളിക്ക,0
മിഥു മാനു തേ അ അക്ഷര വെച്ച് മാത്രമേ സിനിമാ പേരി നേർ മിസ് 1ആട് ഭീകര 2ആൻമരിയ കല 3അലമാര 4ആട് 2 5അർജന്റീന ഫാൻ കാട്ട 6അഞ്ചാം പാ,0
ആർക്കു വേല ചെയ്യാൻ പറ്റാത്ത കാലം അടുത്ത വരുക,0
ithu theateril 100 divasam kaanum enu urappu ullavar like adikku makkale ,0
investigation thrillers ദാരിദ്ര്യ ഉണ്ടായിരുന്ന മലയാള സിനിമ ഇ ആശ്വസ അഭിമാന ഒന്ന അഞ്ചാം പാ promising trailer,0
ഈ സിനിമ വിജയ ആശംസ all the best ചാക്കോ and team,0
heavy trailer kurachu naalinu shesham oru malayalam padam kaanan kothipikunnu ,0
your sleepless nights are coming കുഞ്ചാക്കോ ബോബനും ,0
ഹ രക്ഷ കിട ratsasan ടൈപ്പ് പടം മലയാള,0
ചാക്കോച്ചന് carrier ൽ ഇത്‌ ഉറപ്പാ breakthrough ആയ,0
adipoli immadhiri uff a pullinte voice a bikshakaran aan trailer haram akiyadh ,0
മലയാള ഇൻഡ്സ്‌ട്രിക്ക് ത്രില് ക്ഷാമം ഇല്ലെന്ന കാണിച്ചു കൊടുക്ക അ,0
i oppose cab ivide like adich pradisheeedham kaaanikk ,0
ee padam hittakumenn entha itra urapp chakochannjan thanneyan urapp ,0
sreenath bhasi fans like adichu potikku ,0
തമിഴ രാക്ഷസ വെല്ല item ആക കർ,0
കുറെ നാളായി ചാക്കോച്ചന് പടം വെയ് ലിസ്റ്റി കെയ് കേറി,0
കിട ഒരിട ശേഷം കിട ത്രില് മോളി ഒരുങ്ങുന്ന,0
ഷൈജ ഖാലിദ,0
sreenath basi villain alla nu sure ,0
level trailer fdfs set akki pullinga ivde like adikum ,0
മെമ്മറി പോലെ ആ ത്രില് ആ കുറെ ആയി അങ്ങ ഒന്ന ഇറങ്ങ,0
ഹെ ഒരു നാൾ ശേഷം ആണ് കിട ത്രില് സിനിമ ഇറങ്ങുന്ന,0
ചാക്കോച്ചന് അഞ്ചാം പാതിരാ ദിലീപ ഫാൻ വിജയ,0
he he മാസ്സ മരണ മാസ്സ thriller loadingനക്ഷത്രഅടിച്ചു,0
ചാക്കോ മിഥു കൂട്ടു പൊളി,0
